train_task,A1_forward,A2_omni,B1_rough,B2_stairs,C2_gap,mean_over_eval_tasks
A1_forward,0.016362,0.001869,0.000563,0.000000,0.042298,0.428119
A2_omni,0.055288,0.017101,0.038595,0.000000,0.014692,0.485328
B1_rough,0.000000,0.002022,0.016128,0.008807,0.013822,0.435494
B2_stairs,0.087182,0.000977,0.002821,0.000564,0.040322,0.483959
C2_gap,0.013998,0.021458,0.022756,0.041768,0.058448,0.486550
MTL,0.005553,0.039576,0.031617,0.139328,0.044691,0.265557
