train_seed,A1_forward,A2_omni,B1_rough,B2_stairs,C2_gap,mean_over_eval_tasks
MTL_s0,0.989258,0.882812,0.919417,0.480732,0.411133,0.736671
MTL_s1,0.997070,0.961914,0.975586,0.726121,0.385742,0.809287
MTL_s2,1.000000,0.924805,0.972656,0.717773,0.324219,0.787891
