train_seed,A1_forward,A2_omni,B1_rough,B2_stairs,C2_gap,mean_over_eval_tasks
MTL_s0,0.009766,0.025391,0.042718,0.123314,0.296875,0.099613
MTL_s1,0.000000,0.001953,0.009766,0.073099,0.173828,0.051729
MTL_s2,0.000000,0.013672,0.010742,0.041016,0.159180,0.044922
